[6,    40] loss: 0.598
40   tensor(0.6441, grad_fn=<NllLossBackward>)
41   tensor(0.6938, grad_fn=<NllLossBackward>)
42   tensor(0.6134, grad_fn=<NllLossBackward>)
43   tensor(0.6229, grad_fn=<NllLossBackward>)
44   tensor(0.6266, grad_fn=<NllLossBackward>)
[6,    45] loss: 0.640
45   tensor(0.5786, grad_fn=<NllLossBackward>)
46   tensor(0.5678, grad_fn=<NllLossBackward>)
47   tensor(0.5715, grad_fn=<NllLossBackward>)
48   tensor(0.5703, grad_fn=<NllLossBackward>)
49   tensor(0.6634, grad_fn=<NllLossBackward>)
[6,    50] loss: 0.590
50   tensor(0.6413, grad_fn=<NllLossBackward>)
51   tensor(0.5851, grad_fn=<NllLossBackward>)
52   tensor(0.4924, grad_fn=<NllLossBackward>)
53   tensor(0.6018, grad_fn=<NllLossBackward>)
54   tensor(0.6279, grad_fn=<NllLossBackward>)
[6,    55] loss: 0.590
55   tensor(0.6609, grad_fn=<NllLossBackward>)
56   tensor(0.7507, grad_fn=<NllLossBackward>)
0   tensor(0.5550, grad_fn=<NllLossBackward>)
1   tensor(0.5819, grad_fn=<NllLossBackward>)
2   tensor(0.6501, grad_fn=<NllLossBackward>)
3   tensor(0.4837, grad_fn=<NllLossBackward>)
4   tensor(0.5966, grad_fn=<NllLossBackward>)
[7,     5] loss: 0.573
5   tensor(0.6313, grad_fn=<NllLossBackward>)
6   tensor(0.5538, grad_fn=<NllLossBackward>)
7   tensor(0.7209, grad_fn=<NllLossBackward>)
8   tensor(0.5974, grad_fn=<NllLossBackward>)
9   tensor(0.5277, grad_fn=<NllLossBackward>)
[7,    10] loss: 0.606
10   tensor(0.6101, grad_fn=<NllLossBackward>)
11   tensor(0.6261, grad_fn=<NllLossBackward>)
12   tensor(0.6191, grad_fn=<NllLossBackward>)
13   tensor(0.5287, grad_fn=<NllLossBackward>)
14   tensor(0.5939, grad_fn=<NllLossBackward>)
[7,    15] loss: 0.596
15   tensor(0.5561, grad_fn=<NllLossBackward>)
16   tensor(0.5349, grad_fn=<NllLossBackward>)
17   tensor(0.5276, grad_fn=<NllLossBackward>)
18   tensor(0.5848, grad_fn=<NllLossBackward>)
19   tensor(0.5215, grad_fn=<NllLossBackward>)
[7,    20] loss: 0.545
20   tensor(0.6297, grad_fn=<NllLossBackward>)
21   tensor(0.5708, grad_fn=<NllLossBackward>)
22   tensor(0.5825, grad_fn=<NllLossBackward>)
23   tensor(0.6715, grad_fn=<NllLossBackward>)
24   tensor(0.4920, grad_fn=<NllLossBackward>)
[7,    25] loss: 0.589
25   tensor(0.5772, grad_fn=<NllLossBackward>)
26   tensor(0.5992, grad_fn=<NllLossBackward>)
27   tensor(0.4764, grad_fn=<NllLossBackward>)
28   tensor(0.6243, grad_fn=<NllLossBackward>)
29   tensor(0.4506, grad_fn=<NllLossBackward>)
[7,    30] loss: 0.546
30   tensor(0.6411, grad_fn=<NllLossBackward>)
31   tensor(0.5646, grad_fn=<NllLossBackward>)
32   tensor(0.6152, grad_fn=<NllLossBackward>)
33   tensor(0.6581, grad_fn=<NllLossBackward>)
34   tensor(0.5099, grad_fn=<NllLossBackward>)
[7,    35] loss: 0.598
35   tensor(0.6200, grad_fn=<NllLossBackward>)
36   tensor(0.6699, grad_fn=<NllLossBackward>)
37   tensor(0.5187, grad_fn=<NllLossBackward>)
38   tensor(0.6614, grad_fn=<NllLossBackward>)
39   tensor(0.5954, grad_fn=<NllLossBackward>)
[7,    40] loss: 0.613
40   tensor(0.6789, grad_fn=<NllLossBackward>)
41   tensor(0.4974, grad_fn=<NllLossBackward>)
42   tensor(0.6412, grad_fn=<NllLossBackward>)
43   tensor(0.5474, grad_fn=<NllLossBackward>)
